CNXC	-5.73	-38.20%	13985700
CO	1.85	40.93%	54455100
CODI	-0.36	-2.22%	34142000
COF	-10.37	-12.56%	726743700
COF-C	1.91	7.78%	23891300
COF-D	1.65	6.37%	22132100
COF-F	1.59	6.44%	14587700
COF-P	1.51	6.19%	18189700
COF.W	-9.76	-23.74%	1494900
COG	-11.92	-40.26%	1592241000
COH	-4.83	-12.86%	1093413500
COL	7.82	9.26%	199891200
COO	-27.89	-17.21%	119279600
COP	-22.37	-32.39%	2109986200
COR	17.67	45.25%	61591800
COR-A	-7.34	-28.73%	2836900
CORR	-17.56	-54.20%	103100400
COT	4.11	59.74%	161250000
COTY	4.97	24.06%	357376900
CP	-65.09	-33.78%	260549500
CPA	-55.38	-53.43%	160124000
CPAC	-1.08	-12.37%	8331600
CPB	8.55	19.43%	401038800
CPE	2.89	53.03%	546516900
CPE-A	0.18	0.43%	1725400
CPF	0.52	2.42%	69913600
CPG	-11.51	-49.70%	162623000
CPK	7.09	14.28%	13783200
CPL	-6.15	-45.32%	99606000
CPN	-7.66	-34.61%	1130204700
CPPL	-10.52	-37.57%	122921200
CPS	19.71	34.05%	14330400
CPT	2.92	3.95%	167231100
CR	-10.86	-18.50%	100267200
CRC	-3.18	-57.71%	1694642600
CRCM	-1.12	-13.53%	27620000
CRD.A	-3.5	-40.84%	6369900
CRD.B	-4.97	-48.35%	7938800
CRH	4.81	20.03%	103655600
CRI	1.72	1.97%	168539200
CRK	-24.7	-72.54%	533093400
CRL	16.75	26.32%	113261600
CRM	19.09	32.19%	1046610400
CRR	-22.85	-57.05%	183117500
CRS	-18.98	-38.54%	117804300
CRT	-4.31	-24.88%	6295700
CRY	-0.55	-4.85%	21860700
CS	-3.39	-13.52%	384173500
CSC	-30.37	-48.17%	403486400
CSI	-1.08	-5.58%	5124400
CSL	-1.55	-1.72%	107027400
CSLT	-7.43	-63.50%	194062000
CSRA	0.61	2.08%	67290900
CSS	0.74	2.68%	6137900
CST	-4.47	-10.25%	173025100
CSTM	-8.73	-53.13%	294826600
CSU	-4.05	-16.26%	52918100
CSV	3.15	15.04%	29811800
CTB	3.2	9.24%	169646700
CTL	-14.42	-36.43%	1225555000
CTLT	-2.85	-10.22%	179663900
CTR	-9.08	-42.45%	49189900
CTS	-0.19	-1.07%	23063400
CTT	-0.01	-0.09%	36678500
CTU	0.03	0.12%	5430600
CTV	0.11	0.43%	15034200
CTW	-1.26	-4.68%	7616200
CTX	-0.41	-1.57%	7053600
CTY	0.74	3.07%	26132400
CTZ	0.38	1.53%	10198100
CUB	-5.39	-10.24%	32768100
CUB-A	-0.84	-3.11%	3354800
CUB-C	1.12	4.42%	2972700
CUBE	8.55	38.74%	352879900
CUBI	7.76	39.88%	43098400
CUBS	0.73	2.76%	791400
CUDA	-17.16	-47.88%	134939800
CUK	11.93	26.52%	73093500
CUZ	-1.99	-17.43%	432053300
CVA	-6.52	-29.62%	241069000
CVB	-0.24	-2.23%	253400
CVE	-8	-38.80%	605278800
CVEO	-2.69	-65.45%	509935200
CVG	4.52	22.19%	139070600
CVI	0.64	1.65%	80227700
CVO	-9.84	-58.57%	83285500
CVRR	2.13	12.68%	99772200
CVS	1.46	1.52%	1222023400
CVT	7.07	25.40%	50382700
CVX	-22.22	-19.81%	2331636800
CW	-2.09	-2.96%	56080800
CWEI	-34.23	-53.65%	55776400
CWT	-1.34	-5.44%	54350600
CX	-4.62	-45.34%	3457100700
CXE	0.03	0.61%	19186300
CXH	0.57	6.08%	7090600
CXO	-6.89	-6.91%	420909400
CXP	-1.87	-7.38%	163694500
CXW	-9.85	-27.11%	182228800
CYD	-8.24	-43.37%	10541800
CYH	-27.39	-50.80%	479484600
CYS	-1.59	-18.23%	400096200
CYS-A	-1.55	-6.37%	2106800
CYS-B	-1.75	-7.38%	4032100
CZZ	-4.06	-52.39%	330068800
D	-9.26	-12.04%	652685100
DAC	0.52	9.51%	6736700
DAL	1.5	3.05%	2714810800
DAN	-7.94	-36.52%	548012400
DAR	-7.64	-42.07%	508740500
DATA	9.46	11.16%	286806100
DB	-5.87	-19.55%	509919200
DBD	-4.55	-13.14%	151308500
DBL	0.75	3.05%	20113600
DCA	-0.71	-15.71%	20396800
DCI	-9.97	-25.81%	170101300
DCM	5.9	40.41%	44584700
DCO	-9.06	-35.84%	16216100
DCT	1.71	4.80%	231704400
DCUC	-3.93	-7.56%	16500600
DD	-7.34	-9.93%	1493236600
DD-A	-3.5	-4.29%	217200
DD-B	-7.1	-6.83%	488600
DDC	-7.73	-43.04%	113992200
DDD	-24.18	-73.56%	724186000
DDE	0.14	16.87%	7153100
DDF	-1.03	-10.46%	4941600
DDR	-1.52	-8.28%	882189100
